"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SMRT","Stein Mart, Inc.","0.2728","$13.19M","1992","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/smrt",
"SCA","Stellus Capital Investment Corporation","20.5","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sca",
"SCM","Stellus Capital Investment Corporation","8.54","$166.31M","2012","n/a","n/a","https://old.nasdaq.com/symbol/scm",
"STML","Stemline Therapeutics, Inc.","4.98","$250.87M","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/stml",
"SCL","Stepan Company","94.11","$2.12B","n/a","Basic Industries","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/scl",
"STXS","Stereotaxis, Inc.","3.67","$253.36M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/stxs",
"SRCL","Stericycle, Inc.","48.59","$4.44B","1996","Basic Industries","Environmental Services","https://old.nasdaq.com/symbol/srcl",
"STE","STERIS plc","154.97","$13.14B","n/a","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/ste",
"STL","Sterling Bancorp","10.63","$2.1B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/stl",
"STL^A","Sterling Bancorp","23.9","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/stl^a",
"SBT","Sterling Bancorp, Inc.","3.14","$157.64M","2017","Finance","Savings Institutions","https://old.nasdaq.com/symbol/sbt",
"STRL","Sterling Construction Company Inc","8.53","$237.51M","n/a","Basic Industries","Military/Government/Technical","https://old.nasdaq.com/symbol/strl",
"SHOO","Steven Madden, Ltd.","23.34","$1.94B","1993","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/shoo",
"STC","Stewart Information Services Corporation","29.27","$693.11M","n/a","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/stc",
"SF","Stifel Financial Corporation","42.06","$2.89B","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/sf",
"SF^A","Stifel Financial Corporation","25.28","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/sf^a",
"SF^B","Stifel Financial Corporation","24.81","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sf^b",
"SFB","Stifel Financial Corporation","24.36","n/a","2017","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/sfb",
